onset	duration	staging
0	0	6
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	3
1200	0	3
1230	0	3
1260	0	3
1290	0	4
1320	0	4
1350	0	4
1380	0	4
1410	0	1
1440	0	3
1470	0	4
1500	0	4
1530	0	4
1560	0	4
1590	0	4
1620	0	4
1650	0	4
1680	0	4
1710	0	4
1740	0	4
1770	0	4
1800	0	4
1830	0	4
1860	0	4
1890	0	4
1920	0	4
1950	0	4
1980	0	4
2010	0	5
2040	0	5
2070	0	5
2100	0	5
2130	0	5
2160	0	5
2190	0	5
2220	0	5
2250	0	5
2280	0	5
2310	0	5
2340	0	5
2370	0	1
2400	0	3
2430	0	4
2460	0	4
2490	0	4
2520	0	4
2550	0	4
2580	0	4
2610	0	4
2640	0	4
2670	0	5
2700	0	5
2730	0	5
2760	0	5
2790	0	5
2820	0	5
2850	0	5
2880	0	5
2910	0	5
2940	0	5
2970	0	5
3000	0	5
3030	0	5
3060	0	5
3090	0	5
3120	0	5
3150	0	1
3180	0	3
3210	0	4
3240	0	4
3270	0	4
3300	0	5
3330	0	5
3360	0	5
3390	0	5
3420	0	5
3450	0	5
3480	0	5
3510	0	5
3540	0	5
3570	0	5
3600	0	5
3630	0	5
3660	0	5
3690	0	5
3720	0	5
3750	0	5
3780	0	5
3810	0	5
3840	0	5
3870	0	5
3900	0	5
3930	0	5
3960	0	5
3990	0	5
4020	0	1
4050	0	3
4080	0	4
4110	0	4
4140	0	4
4170	0	4
4200	0	5
4230	0	5
4260	0	5
4290	0	5
4320	0	5
4350	0	5
4380	0	4
4410	0	4
4440	0	4
4470	0	4
4500	0	5
4530	0	5
4560	0	5
4590	0	5
4620	0	5
4650	0	5
4680	0	5
4710	0	5
4740	0	5
4770	0	5
4800	0	5
4830	0	5
4860	0	5
4890	0	5
4920	0	5
4950	0	5
4980	0	4
5010	0	5
5040	0	5
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	2
5280	0	2
5310	0	2
5340	0	2
5370	0	4
5400	0	2
5430	0	2
5460	0	2
5490	0	2
5520	0	2
5550	0	2
5580	0	2
5610	0	2
5640	0	3
5670	0	3
5700	0	4
5730	0	4
5760	0	4
5790	0	4
5820	0	4
5850	0	4
5880	0	4
5910	0	4
5940	0	4
5970	0	4
6000	0	4
6030	0	4
6060	0	4
6090	0	4
6120	0	4
6150	0	4
6180	0	4
6210	0	4
6240	0	4
6270	0	4
6300	0	4
6330	0	4
6360	0	4
6390	0	4
6420	0	4
6450	0	4
6480	0	4
6510	0	4
6540	0	4
6570	0	4
6600	0	4
6630	0	4
6660	0	1
6690	0	4
6720	0	4
6750	0	4
6780	0	4
6810	0	4
6840	0	4
6870	0	4
6900	0	4
6930	0	1
6960	0	1
6990	0	3
7020	0	3
7050	0	4
7080	0	4
7110	0	4
7140	0	4
7170	0	4
7200	0	4
7230	0	4
7260	0	4
7290	0	4
7320	0	4
7350	0	4
7380	0	4
7410	0	4
7440	0	4
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	4
7890	0	4
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	4
8070	0	4
8100	0	4
8130	0	4
8160	0	5
8190	0	5
8220	0	5
8250	0	5
