onset	duration	staging
0	0	6
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	3
1230	0	3
1260	0	3
1290	0	3
1320	0	3
1350	0	3
1380	0	3
1410	0	3
1440	0	3
1470	0	4
1500	0	4
1530	0	4
1560	0	4
1590	0	4
1620	0	4
1650	0	4
1680	0	4
1710	0	4
1740	0	4
1770	0	5
1800	0	5
1830	0	5
1860	0	5
1890	0	5
1920	0	5
1950	0	5
1980	0	5
2010	0	5
2040	0	5
2070	0	5
2100	0	5
2130	0	5
2160	0	5
2190	0	5
2220	0	5
2250	0	5
2280	0	5
2310	0	5
2340	0	5
2370	0	5
2400	0	5
2430	0	5
2460	0	5
2490	0	5
2520	0	5
2550	0	5
2580	0	5
2610	0	5
2640	0	5
2670	0	5
2700	0	5
2730	0	5
2760	0	5
2790	0	5
2820	0	5
2850	0	5
2880	0	5
2910	0	5
2940	0	5
2970	0	5
3000	0	5
3030	0	5
3060	0	5
3090	0	5
3120	0	5
3150	0	5
3180	0	5
3210	0	5
3240	0	5
3270	0	5
3300	0	5
3330	0	5
3360	0	5
3390	0	5
3420	0	5
3450	0	5
3480	0	5
3510	0	5
3540	0	5
3570	0	5
3600	0	5
3630	0	5
3660	0	5
3690	0	5
3720	0	5
3750	0	5
3780	0	5
3810	0	5
3840	0	5
3870	0	5
3900	0	5
3930	0	5
3960	0	5
3990	0	5
4020	0	5
4050	0	5
4080	0	1
4110	0	5
4140	0	4
4170	0	4
4200	0	4
4230	0	4
4260	0	4
4290	0	4
4320	0	4
4350	0	5
4380	0	5
4410	0	5
4440	0	5
4470	0	4
4500	0	4
4530	0	4
4560	0	5
4590	0	5
4620	0	5
4650	0	5
4680	0	5
4710	0	5
4740	0	5
4770	0	5
4800	0	5
4830	0	5
4860	0	5
4890	0	5
4920	0	5
4950	0	5
4980	0	5
5010	0	5
5040	0	5
5070	0	5
5100	0	5
5130	0	5
5160	0	5
5190	0	5
5220	0	5
5250	0	5
5280	0	5
5310	0	5
5340	0	5
5370	0	5
5400	0	5
5430	0	5
5460	0	5
5490	0	5
5520	0	5
5550	0	5
5580	0	5
5610	0	5
5640	0	5
5670	0	5
5700	0	5
5730	0	5
5760	0	5
5790	0	5
5820	0	5
5850	0	5
5880	0	5
5910	0	5
5940	0	5
5970	0	5
6000	0	5
6030	0	5
6060	0	5
6090	0	5
6120	0	5
6150	0	5
6180	0	5
6210	0	5
6240	0	5
6270	0	5
6300	0	5
6330	0	5
6360	0	5
6390	0	5
6420	0	5
6450	0	5
6480	0	5
6510	0	5
6540	0	4
6570	0	5
6600	0	5
6630	0	4
6660	0	4
6690	0	4
6720	0	4
6750	0	4
6780	0	1
6810	0	1
6840	0	3
6870	0	2
6900	0	2
6930	0	2
6960	0	2
6990	0	2
7020	0	2
7050	0	2
7080	0	2
7110	0	2
7140	0	2
7170	0	2
7200	0	2
7230	0	2
7260	0	2
7290	0	2
7320	0	2
7350	0	2
7380	0	2
7410	0	2
7440	0	2
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	4
7890	0	4
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	4
8070	0	4
8100	0	4
8130	0	4
8160	0	4
8190	0	4
8220	0	4
8250	0	4
