onset	duration	staging
0	0	1
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	1
1230	0	1
1260	0	1
1290	0	1
1320	0	1
1350	0	1
1380	0	1
1410	0	1
1440	0	1
1470	0	1
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	3
1770	0	3
1800	0	3
1830	0	3
1860	0	3
1890	0	4
1920	0	4
1950	0	4
1980	0	4
2010	0	1
2040	0	1
2070	0	1
2100	0	1
2130	0	1
2160	0	1
2190	0	1
2220	0	1
2250	0	1
2280	0	1
2310	0	1
2340	0	1
2370	0	1
2400	0	1
2430	0	1
2460	0	1
2490	0	4
2520	0	4
2550	0	5
2580	0	5
2610	0	5
2640	0	5
2670	0	5
2700	0	5
2730	0	5
2760	0	5
2790	0	5
2820	0	5
2850	0	5
2880	0	5
2910	0	5
2940	0	5
2970	0	5
3000	0	5
3030	0	5
3060	0	5
3090	0	5
3120	0	5
3150	0	5
3180	0	5
3210	0	5
3240	0	5
3270	0	5
3300	0	5
3330	0	5
3360	0	5
3390	0	5
3420	0	5
3450	0	5
3480	0	5
3510	0	5
3540	0	5
3570	0	5
3600	0	5
3630	0	5
3660	0	5
3690	0	5
3720	0	5
3750	0	5
3780	0	5
3810	0	5
3840	0	5
3870	0	5
3900	0	5
3930	0	5
3960	0	5
3990	0	5
4020	0	5
4050	0	5
4080	0	5
4110	0	5
4140	0	5
4170	0	5
4200	0	5
4230	0	5
4260	0	5
4290	0	5
4320	0	5
4350	0	5
4380	0	5
4410	0	5
4440	0	5
4470	0	5
4500	0	5
4530	0	3
4560	0	4
4590	0	4
4620	0	4
4650	0	4
4680	0	4
4710	0	4
4740	0	4
4770	0	4
4800	0	4
4830	0	4
4860	0	4
4890	0	4
4920	0	4
4950	0	4
4980	0	4
5010	0	4
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	4
5370	0	4
5400	0	4
5430	0	4
5460	0	4
5490	0	4
5520	0	4
5550	0	4
5580	0	1
5610	0	1
5640	0	3
5670	0	2
5700	0	2
5730	0	2
5760	0	2
5790	0	2
5820	0	2
5850	0	4
5880	0	4
5910	0	4
5940	0	4
5970	0	4
6000	0	4
6030	0	4
6060	0	4
6090	0	4
6120	0	5
6150	0	5
6180	0	5
6210	0	5
6240	0	5
6270	0	5
6300	0	5
6330	0	5
6360	0	5
6390	0	5
6420	0	5
6450	0	5
6480	0	5
6510	0	5
6540	0	5
6570	0	5
6600	0	5
6630	0	5
6660	0	5
6690	0	5
6720	0	5
6750	0	5
6780	0	5
6810	0	5
6840	0	5
6870	0	5
6900	0	5
6930	0	5
6960	0	5
6990	0	5
7020	0	5
7050	0	5
7080	0	5
7110	0	5
7140	0	5
7170	0	5
7200	0	5
7230	0	5
7260	0	5
7290	0	5
7320	0	5
7350	0	5
7380	0	5
7410	0	5
7440	0	5
7470	0	5
7500	0	5
7530	0	5
7560	0	5
7590	0	1
7620	0	1
7650	0	1
7680	0	1
7710	0	1
7740	0	1
7770	0	1
7800	0	3
7830	0	3
7860	0	3
7890	0	3
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	4
8070	0	5
8100	0	5
8130	0	5
8160	0	5
8190	0	5
8220	0	5
8250	0	5
8280	0	5
8310	0	5
8340	0	5
8370	0	5
8400	0	4
8430	0	4
8460	0	4
8490	0	4
8520	0	5
8550	0	5
8580	0	3
8610	0	4
8640	0	1
8670	0	1
8700	0	1
8730	0	1
8760	0	1
8790	0	1
8820	0	3
8850	0	4
8880	0	5
8910	0	5
8940	0	5
8970	0	5
9000	0	5
9030	0	5
9060	0	5
9090	0	5
9120	0	5
9150	0	5
9180	0	5
9210	0	5
9240	0	5
9270	0	5
9300	0	5
9330	0	5
9360	0	5
9390	0	4
9420	0	3
9450	0	2
9480	0	2
9510	0	2
9540	0	2
9570	0	2
9600	0	2
9630	0	2
9660	0	2
9690	0	2
9720	0	2
9750	0	2
9780	0	2
9810	0	2
9840	0	2
9870	0	2
9900	0	2
9930	0	2
9960	0	2
9990	0	2
10020	0	2
10050	0	2
10080	0	2
10110	0	1
10140	0	3
10170	0	3
10200	0	3
10230	0	4
10260	0	4
10290	0	4
10320	0	4
10350	0	4
10380	0	2
10410	0	2
10440	0	2
10470	0	2
10500	0	2
10530	0	2
10560	0	2
10590	0	2
10620	0	2
10650	0	2
10680	0	2
10710	0	2
10740	0	2
10770	0	2
10800	0	2
10830	0	2
10860	0	1
10890	0	2
10920	0	2
10950	0	2
10980	0	2
11010	0	2
11040	0	2
11070	0	2
11100	0	2
11130	0	2
11160	0	2
11190	0	2
11220	0	2
11250	0	2
11280	0	2
11310	0	2
11340	0	2
11370	0	2
11400	0	2
11430	0	2
11460	0	2
11490	0	2
11520	0	2
11550	0	2
11580	0	2
11610	0	2
11640	0	2
11670	0	2
11700	0	2
11730	0	2
11760	0	2
11790	0	2
11820	0	2
11850	0	2
11880	0	2
11910	0	2
11940	0	2
11970	0	2
12000	0	2
12030	0	1
12060	0	1
12090	0	1
12120	0	3
12150	0	3
12180	0	3
12210	0	4
12240	0	4
12270	0	4
12300	0	4
12330	0	4
12360	0	4
12390	0	4
12420	0	4
12450	0	4
12480	0	4
12510	0	4
12540	0	4
12570	0	4
12600	0	4
12630	0	4
12660	0	4
12690	0	4
12720	0	4
12750	0	4
12780	0	4
12810	0	4
12840	0	4
12870	0	4
12900	0	4
12930	0	4
12960	0	4
12990	0	4
13020	0	4
13050	0	4
13080	0	4
13110	0	5
13140	0	5
13170	0	5
13200	0	5
13230	0	5
13260	0	5
13290	0	5
13320	0	5
13350	0	5
13380	0	5
13410	0	5
13440	0	5
13470	0	5
13500	0	5
13530	0	5
13560	0	5
13590	0	5
13620	0	5
13650	0	5
13680	0	5
13710	0	5
13740	0	5
13770	0	5
13800	0	5
13830	0	5
13860	0	5
13890	0	5
13920	0	5
13950	0	5
13980	0	5
14010	0	5
14040	0	5
14070	0	5
14100	0	5
14130	0	5
14160	0	5
14190	0	5
14220	0	5
14250	0	5
14280	0	5
14310	0	5
14340	0	5
14370	0	5
14400	0	5
14430	0	5
14460	0	5
14490	0	5
14520	0	5
14550	0	5
14580	0	5
14610	0	5
14640	0	5
14670	0	5
14700	0	5
14730	0	5
14760	0	5
14790	0	5
14820	0	5
14850	0	5
14880	0	5
14910	0	5
14940	0	5
14970	0	5
15000	0	5
15030	0	5
15060	0	5
15090	0	5
15120	0	5
15150	0	5
15180	0	5
15210	0	5
15240	0	5
15270	0	5
15300	0	5
15330	0	5
15360	0	5
15390	0	4
15420	0	4
15450	0	4
15480	0	1
15510	0	1
15540	0	1
15570	0	1
15600	0	1
15630	0	1
15660	0	1
15690	0	1
15720	0	1
15750	0	3
15780	0	4
15810	0	4
15840	0	4
15870	0	4
15900	0	4
15930	0	4
15960	0	4
15990	0	4
16020	0	4
16050	0	4
16080	0	4
16110	0	4
16140	0	4
16170	0	4
16200	0	4
16230	0	4
16260	0	4
16290	0	4
16320	0	4
16350	0	4
16380	0	2
16410	0	2
16440	0	2
16470	0	2
16500	0	2
16530	0	2
16560	0	2
16590	0	2
16620	0	2
16650	0	2
16680	0	2
16710	0	2
16740	0	2
16770	0	2
16800	0	2
16830	0	2
16860	0	2
16890	0	2
16920	0	2
16950	0	2
16980	0	2
17010	0	2
17040	0	2
17070	0	2
17100	0	2
17130	0	2
17160	0	2
17190	0	2
17220	0	2
17250	0	2
17280	0	2
17310	0	2
