onset	duration	staging
0	0	6
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	1
1230	0	1
1260	0	1
1290	0	1
1320	0	1
1350	0	1
1380	0	1
1410	0	1
1440	0	1
1470	0	1
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	1
1770	0	1
1800	0	1
1830	0	1
1860	0	1
1890	0	1
1920	0	1
1950	0	1
1980	0	1
2010	0	1
2040	0	1
2070	0	1
2100	0	1
2130	0	1
2160	0	1
2190	0	1
2220	0	1
2250	0	1
2280	0	1
2310	0	1
2340	0	1
2370	0	1
2400	0	1
2430	0	1
2460	0	1
2490	0	1
2520	0	1
2550	0	1
2580	0	1
2610	0	1
2640	0	1
2670	0	1
2700	0	1
2730	0	1
2760	0	1
2790	0	1
2820	0	1
2850	0	1
2880	0	1
2910	0	1
2940	0	1
2970	0	1
3000	0	1
3030	0	1
3060	0	1
3090	0	1
3120	0	1
3150	0	1
3180	0	1
3210	0	1
3240	0	1
3270	0	1
3300	0	1
3330	0	1
3360	0	1
3390	0	1
3420	0	1
3450	0	1
3480	0	1
3510	0	1
3540	0	1
3570	0	1
3600	0	1
3630	0	1
3660	0	1
3690	0	1
3720	0	1
3750	0	1
3780	0	1
3810	0	1
3840	0	1
3870	0	1
3900	0	1
3930	0	1
3960	0	1
3990	0	1
4020	0	1
4050	0	1
4080	0	1
4110	0	1
4140	0	1
4170	0	1
4200	0	1
4230	0	1
4260	0	1
4290	0	1
4320	0	1
4350	0	1
4380	0	1
4410	0	1
4440	0	1
4470	0	1
4500	0	1
4530	0	1
4560	0	1
4590	0	1
4620	0	1
4650	0	1
4680	0	1
4710	0	1
4740	0	1
4770	0	1
4800	0	1
4830	0	1
4860	0	1
4890	0	1
4920	0	1
4950	0	1
4980	0	1
5010	0	1
5040	0	1
5070	0	1
5100	0	1
5130	0	1
5160	0	1
5190	0	1
5220	0	1
5250	0	1
5280	0	1
5310	0	1
5340	0	1
5370	0	1
5400	0	1
5430	0	1
5460	0	1
5490	0	1
5520	0	1
5550	0	1
5580	0	1
5610	0	1
5640	0	1
5670	0	1
5700	0	1
5730	0	1
5760	0	1
5790	0	1
5820	0	1
5850	0	1
5880	0	1
5910	0	1
5940	0	1
5970	0	1
6000	0	1
6030	0	1
6060	0	1
6090	0	1
6120	0	1
6150	0	1
6180	0	1
6210	0	1
6240	0	1
6270	0	1
6300	0	1
6330	0	1
6360	0	1
6390	0	1
6420	0	1
6450	0	1
6480	0	1
6510	0	1
6540	0	1
6570	0	1
6600	0	1
6630	0	1
6660	0	1
6690	0	1
6720	0	1
6750	0	1
6780	0	1
6810	0	1
6840	0	1
6870	0	1
6900	0	1
6930	0	3
6960	0	3
6990	0	3
7020	0	3
7050	0	3
7080	0	3
7110	0	3
7140	0	3
7170	0	3
7200	0	3
7230	0	3
7260	0	3
7290	0	4
7320	0	4
7350	0	4
7380	0	4
7410	0	4
7440	0	4
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	1
7800	0	3
7830	0	3
7860	0	3
7890	0	4
7920	0	4
7950	0	5
7980	0	5
8010	0	5
8040	0	5
8070	0	5
8100	0	5
8130	0	5
8160	0	5
8190	0	5
8220	0	5
8250	0	5
